Estacao,Data,Precipitacao,Umidade,Insolacao,Nebulosidade,TempMaxima,TempMinima,DiaMes,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,condicao1,condicao2,condicao3,condicao4,condicao5,condicao6,DataEnergia,Energia
83936,19/8/2017,0,79.25,2.8, 4.66667,25.8,14.6,198,21,22,22,22,22,25,5,8,8,8,8,8,19.08.2017,7.57
83936,20/8/2017,2.4,75.5,5.1, 6.66667,18.6,8.4,208,12,12,13,13,16,16,0,0,0,0,0,0,20.08.2017,9.32
83936,21/8/2017,0,73,9.5, 1.33333,16,2.4,218,8,11,13,15,16,16,0,0,0,0,0,0,21.08.2017,14.54
83936,22/8/2017,0,65.75,10.2,0,21.8,4,228,12,13,17,18,20,21,0,0,0,0,0,0,22.08.2017,14.28
83936,23/8/2017,0,74,9.9,0,26.2,11.4,238,18,21,22,25,26,26,0,0,0,0,0,0,23.08.2017,12.75
83936,24/8/2017,0,52.5,9.3, 6.66667,32.8,19.4,248,25,27,28,30,31,32,1,1,1,1,0,0,24.08.2017,12.17
83936,25/8/2017,0,54.25,9.9,0,32.8,23.4,258,27,28,32,32,32,32,0,0,0,0,0,0,25.08.2017,12.94
83936,26/8/2017,0,73,6.9, 6.66667,28.2,19.2,268,22,23,26,27,27,27,0,8,5,5,5,5,26.08.2017,9.96
83936,27/8/2017,24.3,83.75,2.8, 9.33333,23.8,18.2,278,20,21,20,21,21,22,7,8,8,8,0,0,27.08.2017,3.97
83936,28/8/2017,0,88,4.6, 6.66667,26.4,14.4,288,18,20,22,25,26,26,5,8,8,0,0,0,28.08.2017,8.78
83936,29/8/2017,0,44,8.7, 8.66667,33.8,20.4,298,27,30,30,32,32,33,0,0,0,0,1,1,29.08.2017,12.12
83936,30/8/2017,0,74,0, 6.66667,30,12.2,308,12,12,12,13,12,12,8,8,8,8,8,8,30.08.2017,2.02
83936,31/8/2017,0,70.5,9.4, 7.66667,20,9.8,318,13,15,17,17,18,20,0,5,5,5,0,0,31.08.2017,12.93
83936,1/9/2017,0,77.25,9.5, 8.33333,27.4,13.4,19,16,18,22,23,26,27,0,0,0,0,0,0,01.09.2017,12.94
83936,2/9/2017,0,66.25,10.1, 0.666667,31.8,18.8,29,22,25,27,27,28,31,0,0,0,0,0,0,02.09.2017,13.31
83936,3/9/2017,0,52,9.9,0,33,22.6,39,23,25,27,30,31,32,0,0,0,0,0,0,03.09.2017,12.68
83936,4/9/2017,0,63.25,6.5,4,33.2,24.2,49,28,30,30,31,32,28,1,1,0,0,0,0,04.09.2017,10.34
83936,5/9/2017,18.2,95,0, 9.66667,24.4,15,59,17,17,17,17,17,17,20,10,14,14,14,14,05.09.2017,1.36
83936,6/9/2017,9.6,87.5,0.6,10,20.8,14.6,69,16,17,17,17,20,20,8,8,8,7,7,7,06.09.2017,6.57
83936,7/9/2017,0,75,7.3,8,33.2,16.8,79,18,22,26,30,32,33,3,5,0,0,0,0,07.09.2017,12.01
83936,8/9/2017,0,79,3.5,8,26.8,16.8,89,21,22,25,26,27,27,0,0,0,0,0,0,08.09.2017,9.9
83936,9/9/2017,0,92,0.1,10,23.8,18.2,99,20,22,22,22,23,22,3,8,8,8,8,8,09.09.2017,5.1
83936,10/9/2017,0.2,32,4.1,10,35.4,20.8,109,30,32,36,36,35,32,6,6,5,0,5,5,10.09.2017,10.72
83936,11/9/2017,9.4,84.25,5.9, 6.66667,33.4,14,119,15,15,17,18,20,22,15,14,5,5,5,0,11.09.2017,11.12
83936,12/9/2017,1.5,83.25,0,10,17.8,12.2,129,13,13,16,16,17,17,8,8,8,8,8,8,12.09.2017,5.46
83936,13/9/2017,0.5,88,0.7,10,24.6,14.6,139,18,21,22,22,23,25,8,8,8,0,0,0,13.09.2017,7.49
83936,14/9/2017,0,96.5,0,10,20.8,16.8,149,18,18,17,17,17,17,7,24,15,20,14,20,14.09.2017,0.19
83936,15/9/2017,32.3,88.75,0,10,18.2,13.6,159,16,17,17,17,17,17,8,8,8,5,5,5,15.09.2017,5.07
83936,16/9/2017,8.4,86.75,0,10,19.4,13.4,169,13,15,15,15,16,16,10,10,11,10,10,10,16.09.2017,2.01
83936,17/9/2017,11.2,84.25,2.3, 9.33333,21.6,13.4,179,17,17,18,20,21,22,8,8,8,8,8,8,17.09.2017,6.97
83936,18/9/2017,0,85.25,9,5,22,12.2,189,15,17,17,18,20,21,8,8,8,8,8,5,18.09.2017,15.82
83936,19/9/2017,0,86.25,6.5, 3.33333,24,14.8,199,17,20,21,22,22,23,8,8,8,5,0,0,19.09.2017,14.02
83936,20/9/2017,0,86.75,7.2, 3.33333,30.4,17.4,209,17,18,22,25,27,28,3,3,8,0,0,0,20.09.2017,12.53
83936,21/9/2017,0,62,10.2,0,35,18.2,219,27,28,31,35,35,35,0,0,0,0,0,0,21.09.2017,14.84
83936,22/9/2017,0,92.75,0, 6.66667,24.6,18,229,18,18,18,20,20,21,3,7,3,7,7,7,22.09.2017,2.29
83936,23/9/2017,7.1,90.75,3.4,9,23,16.4,239,17,17,17,18,18,20,3,7,7,7,8,8,23.09.2017,6.02
83936,24/9/2017,0,83.25,3.6,7,23,15.4,249,16,17,20,21,22,22,8,8,8,8,8,5,24.09.2017,8.03
83936,25/9/2017,0,87,4.9, 3.33333,28,15.8,259,18,22,23,25,27,27,0,0,0,0,0,8,25.09.2017,11.55
83936,26/9/2017,1.8,79.75,8.1, 6.33333,30,18,269,22,22,25,27,28,28,0,0,0,0,0,0,26.09.2017,13.57
83936,27/9/2017,6.8,87,0.7,10,25.4,17.6,279,17,20,21,22,23,23,15,8,8,8,5,8,27.09.2017,6.79
83936,28/9/2017,4.6,76.75,0,10,20.6,16.8,289,17,18,18,20,18,20,8,8,7,12,7,8,28.09.2017,6.51
83936,29/9/2017,0.8,97.25,0,10,17.4,14.8,299,15,15,16,15,16,15,14,14,14,14,14,16,29.09.2017,2.03
83936,30/9/2017,19.1,87.75,6.9,9,25,15.2,309,17,18,20,22,22,23,3,8,8,8,8,8,30.09.2017,10.9
83936,1/10/2017,0.1,71.75,6, 6.66667,30.6,15.6,110,16,16,20,22,25,27,5,0,0,0,0,0,01.10.2017,10.89
83936,2/10/2017,24.9,68.25,4.2, 9.33333,20.4,15.4,210,16,16,17,18,18,20,8,5,5,8,8,8,02.10.2017,10.25
83936,3/10/2017,0,50.25,10.9,1,24.4,8.8,310,17,18,21,21,22,22,0,0,0,0,0,0,03.10.2017,18.59
83936,4/10/2017,0,45.5,10.1, 6.33333,29.2,14.8,410,22,25,27,27,30,30,0,0,0,0,0,0,04.10.2017,15.81
83936,5/10/2017,0,54.75,5.7, 8.66667,32.8,19.6,510,26,27,32,32,32,32,0,1,0,0,0,0,05.10.2017,14.35
83936,6/10/2017,0.6,74.5,0.5,10,26.6,19.2,610,22,22,25,26,26,25,8,8,8,8,0,5,06.10.2017,5.33
83936,7/10/2017,0,64.5,8.9, 7.33333,23.8,13.8,710,17,20,21,22,22,23,0,1,1,1,0,1,07.10.2017,17.39
83936,8/10/2017,0,73.75,8.7,8,26.6,15.2,810,21,22,23,25,26,26,0,0,0,0,0,0,08.10.2017,16.34
83936,9/10/2017,0.6,87,2.9,9,27.6,16.8,910,20,22,23,23,25,27,5,0,8,8,8,8,09.10.2017,9.01
83936,10/10/2017,0,88.25,1.9,8,24.2,16.8,1010,18,21,21,22,22,22,8,8,8,8,8,8,10.10.2017,5.89
83936,11/10/2017,25.2,96.5,0,10,17.2,15.2,1110,15,16,16,16,17,17,20,15,15,20,8,15,11.10.2017,1.36
83936,12/10/2017,42.6,97.5,0,10,20.2,16.8,1210,17,18,17,17,18,20,24,20,15,15,24,7,12.10.2017,2.47
83936,13/10/2017,26,98,0,10,19.4,16.6,1310,17,17,17,17,17,17,7,7,7,7,7,10,13.10.2017,1.48
83936,14/10/2017,7.1,91,2.7,10,21,13.2,1410,15,17,17,17,18,20,7,8,8,8,8,8,14.10.2017,7.35
83936,15/10/2017,0.3,73.5,9.2, 4.66667,23,10.6,1510,13,17,20,22,22,22,3,5,5,5,0,0,15.10.2017,18.74
83936,16/10/2017,0,73,8, 5.66667,26.2,12.8,1610,16,18,20,23,23,26,0,0,0,0,0,0,16.10.2017,15.9
83936,17/10/2017,0,68.5,7.6,7,32.8,19.2,1710,22,25,27,28,31,32,0,0,0,0,0,0,17.10.2017,14.41
83936,18/10/2017,58.6,85.75,1,10,27.4,20.2,1810,22,22,21,22,22,25,5,23,24,15,15,24,18.10.2017,6.68
83936,19/10/2017,0,79,6.3, 8.33333,24.2,17.4,1910,18,21,21,22,22,22,14,8,5,8,8,8,19.10.2017,0
83936,20/10/2017,0,78.75,11.4,4,25.6,15.2,2010,18,20,22,22,23,25,5,0,0,0,0,0,20.10.2017,0
83936,21/10/2017,5.4,89.75,0.8, 6.66667,24.6,19.2,2110,18,18,20,21,22,22,16,14,16,8,8,8,21.10.2017,4.06
83936,22/10/2017,5.8,71.5,11.9, 6.33333,21,11.2,2210,13,13,16,17,17,18,0,0,0,0,5,5,22.10.2017,19.61
83936,23/10/2017,0,65,11.5, 1.66667,21.4,7.2,2310,12,16,17,17,18,20,0,0,0,0,0,0,23.10.2017,20.06
83936,24/10/2017,0,72.75,11.6, 5.66667,26.4,10.4,2410,17,20,21,22,25,25,0,0,0,0,0,0,24.10.2017,18.65
83936,25/10/2017,5.7,79.75,1.7,6,25.4,16.8,2510,20,20,22,22,25,25,8,8,8,8,0,0,25.10.2017,10.79
83936,26/10/2017,0,83.25,1.2, 8.33333,25.8,14.6,2610,18,21,22,23,25,25,8,0,5,5,5,5,26.10.2017,12.35
83936,27/10/2017,7,82.25,5,9,26.8,18.4,2710,23,25,26,27,26,22,8,8,8,8,8,14,27.10.2017,11.37
83936,28/10/2017,31.8,90.75,2, 7.33333,23.2,15.2,2810,15,15,16,17,17,17,7,10,10,7,7,7,28.10.2017,7.84
83936,29/10/2017,1.5,77.75,6.9, 6.33333,24.8,16.8,2910,18,20,22,23,25,25,8,5,8,8,5,0,29.10.2017,15.64
83936,30/10/2017,0,74.25,4.5, 9.33333,27.4,16.8,3010,20,22,22,26,26,27,5,8,8,8,8,8,30.10.2017,12.67
83936,31/10/2017,0,59.25,12.1, 2.66667,24.2,17.4,3110,17,20,21,21,22,23,0,0,0,0,0,0,31.10.2017,20.35
83936,1/11/2017,0,51.5,12.1,0,26.8,12,111,21,25,26,27,27,27,0,0,0,0,0,0,01.11.2017,19.92
83936,2/11/2017,0,61.25,12, 1.33333,31.6,14.2,211,17,20,22,25,27,28,0,0,0,0,0,0,02.11.2017,19.25
