Precipitacao,Umidade,Nebulosidade,TempMaxima,TempMinima,DiaMes,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Energia
0,64, 1.33333,30.4,15.8,81,22,23,25,27,27,28,20.42
0,64.25,0,30.8,18,91,21,22,25,27,27,28,20.1
0,67,3,33.4,20,101,25,27,30,31,31,32,14.17
0,70.25, 5.33333,34,20.6,111,25,27,27,30,31,32,16.8
0,69, 3.66667,33,20.6,121,26,27,27,28,32,32,14.9
0,79, 5.66667,32.2,21.4,131,23,26,27,31,31,30,13
10.3,83.75,9,30.6,23.4,141,26,27,27,28,27,30,11.04
11.5,85.25, 8.66667,29.4,23,151,22,22,23,25,27,28,10.85
0.5,76.25, 7.66667,29.8,20.8,161,22,23,25,26,27,28,14.33
0,84.75, 3.33333,31.2,20.4,171,22,23,27,27,28,30,14.15
8.1,82, 8.66667,29.8,22.6,181,25,27,27,28,30,28,10.7
1.6,67,4,30.8,17.8,191,22,25,27,27,28,28,20.52
0,75, 3.33333,31.6,16.4,201,26,27,31,32,31,31,16.26
7.7,90.25,10,26,21.8,211,22,22,22,22,22,22,2.14
21.3,88.5, 8.66667,29.2,22,221,22,22,23,23,25,27,7.51
7.9,82.25,5,28.4,22.8,231,26,27,27,27,25,22,6.93
3.7,84.75, 8.66667,31.4,21.4,241,28,31,31,30,30,28,11.68
0,75.5,9,28.2,20.8,251,21,22,26,26,27,27,17.42
0,73, 2.66667,28,17.6,261,20,22,23,26,27,27,20.09
0,88.5,6,29,18.4,271,22,27,27,28,27,23,8.81
41.8,88, 9.66667,29.6,22,281,25,26,27,27,27,28,10.75
0.2,71.75,7,28.8,21.4,291,22,25,25,26,27,27,16.82
0,74.5,2,29,16.2,301,22,25,26,27,27,28,19.29
0,74.75, 0.666667,30.2,19.6,311,23,25,27,27,28,30,19.45
0,77.25, 6.66667,31,19.4,12,21,22,25,26,27,28,18.38
0,75.75,4,31.2,18.2,22,20,20,22,26,27,28,18.7
0,72.5, 4.66667,29.8,18.8,32,23,25,26,27,28,28,18.98
0,72.5,4,30.8,18.4,42,20,22,25,26,27,27,19.9
0,76.25, 3.66667,31.2,17.4,52,25,27,28,30,28,30,16.5
0,72, 1.33333,32,19.2,62,22,25,27,28,31,32,19.29
0,70.75,4,33.2,20,72,21,21,25,26,28,31,18.88
2.6,76.25, 2.66667,34,19.2,82,22,25,31,32,33,33,13.52
46.9,84.5, 6.33333,33.8,21.8,92,28,32,32,32,36,26,9.89
0,81.75, 6.66667,31.4,20.2,102,22,25,26,27,28,30,14.83
0,87.75,10,26.6,16.8,112,22,23,25,25,26,27,8.15
3.7,75, 5.66667,25.4,15.4,122,17,17,20,21,22,22,14.58
0,72.5, 0.333333,25.6,14.2,132,17,18,21,22,23,25,20.45
0,72.5, 0.666667,28,16,142,22,23,26,27,27,27,19.96
0,66,0,28.8,17,152,18,21,22,25,26,27,19.66
0,73.25, 4.66667,30,17.4,162,18,23,26,27,28,28,17.48
0,79,5,31.8,18.4,172,18,22,26,27,30,31,15.87
0,79.5,6,31.6,19,182,25,27,28,30,31,30,13.64
4,84.5, 7.66667,29.2,22.2,192,25,26,27,27,27,27,9.17
49.8,94.75, 9.33333,25.8,20.6,202,25,26,25,25,22,22,4.67
1.9,85.5,8,29,17.4,212,26,27,27,28,25,25,14.25
0,80.25,3,27.4,14.4,222,22,23,25,26,26,26,14.78
0,78.25, 6.66667,27.8,17.4,232,20,22,23,25,26,27,17.75
0,75.5, 4.33333,29.2,17.8,242,21,23,25,26,27,27,17.18
0,79.5, 4.33333,29.8,19.6,252,22,23,26,26,27,28,16.01
0,78.5,7,30.6,19.2,262,22,23,26,27,28,30,17.48
0,77.75, 8.66667,31.4,20.6,272,22,23,26,27,28,30,14.22
0,89.25,8,30,18.8,282,20,22,26,27,28,30,13.21
21.9,84.25, 9.33333,31.2,21,13,22,22,23,26,27,28,11.03
0,81.75, 6.33333,30.8,20.8,23,22,23,27,27,30,30,17.09
0,82.75, 6.66667,28.6,19.2,33,22,22,26,27,27,28,11.92
0,77.25, 7.66667,32.8,19.2,43,22,25,27,28,30,32,15.87
0,76.75, 3.33333,33,19,53,27,26,23,22,22,22,16.07
0,76.75, 7.33333,30.2,20.2,63,25,27,27,27,27,30,12.12
0,68.5, 1.66667,26.4,15.6,73,17,18,21,22,23,23,18.59
0,71,0,27.6,13.4,83,12,12,12,17,20,22,18.48
0,78.75, 2.66667,29.8,15.6,93,17,20,22,25,27,27,16.41
0,77.25, 3.66667,34.8,17.6,103,18,22,26,27,32,33,16.73
0,65,2,34.6,17.4,113,27,32,32,33,33,32,16.41
0,73.75, 3.33333,25.6,14.2,123,18,20,21,22,22,23,18.52
0,71.25, 3.33333,29.8,10.8,133,21,23,23,26,27,27,15.66
0,67.75, 3.33333,33,17.6,143,21,23,27,30,31,32,14.51
59.2,81.25, 8.33333,28.4,19.8,153,23,25,25,26,27,27,4.81
0,75.25,0,27.8,12,163,17,20,22,22,25,26,17.84
0,77.5,3,32.2,18.2,173,21,23,27,28,31,31,15.52
0,64.5,1,36.8,22.6,183,31,32,35,35,37,37,15.31
